progetto,proponente,procedura,info,doc,link_info,link_doc,stato_procedura,id,scadenza_osservazioni,avvio_istanza,province,comuni,regioni,tipologia
Progetto di un impianto agrivoltaico denominato Masseria Archi. della potenza di 28.33 MW e delle relative opere di connessione alla RTN. da realizzarsi nei comuni di Leverano. Copertino e Nardò (LE).,GRUPOTEC SOLAR ITALIA 2 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9896,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9896/14582,Istruttoria tecnica CTPNRR-PNIEC,14582,2024-01-24,2023-06-08,Lecce,"Leverano, Nardo",Puglia,Fotovoltaici
realizzazione di un impianto agrivoltaico integrato con produzione agricola e produzione di energia elettrica da fonte rinnovabile fotovoltaica della potenza complessiva di 45 MW e sistema di accumulo elettrochimico di 10 MW da ubicarsi in agro di Sassari (SS) e delle relative opere di connessione nel comune di Sassari (SS) per la connessione alla stazione elettrica RTN,Marmaria Solare 1 S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9898,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9898/14584,Istruttoria tecnica CTPNRR-PNIEC,14584,2023-07-22,2023-06-08,Sassari,Sassari,Sardegna,Fotovoltaici
CONNESSIONE ALLA RTN DELLA NUOVA C.P. BORGO QUATTORDICI DALL'ELETTRODOTTO SE CELANO - CP CELANO SMISTAMENTO (COD. 23825D1). INTERVENTO NEL COMUNE DI CELANO. PROVINCIA DI L'AQUILA REGIONE ABRUZZO,Terna Rete Italia S.p.A.,Valutazione preliminare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9974,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9974/14694,Non necessita di ulteriori valutazioni ambientali,14694,,2023-06-08,L,Celano,Abruzzo,Elettrodotti
Progetto Nuova realizzazione ed esercizio di un impianto di produzione di energia elettrica da fonte eolica denominato LUXI composto da 5 aerogeneratori da 7.2 MW. per una potenza complessiva di 36 MW sito nel Comune di Ittiri (SS) e delle relative opere ed infrastrutture connesse nel Comune di Ittiri (SS).,GRV Wind Sardegna 6 S.r.l.,Provvedimento Unico in materia Ambientale,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9884,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9884/14569,Istruttoria tecnica CTPNRR-PNIEC,14569,2023-12-01,2023-06-06,Sud Sardegna,Ittiri,Sardegna,Impianti eolici onshore
Riqualificazione ed ampliamento del Porto di Punta Ala Stralcio Funzionale opere marittime,Marina di Punta Ala SpA,Valutazione preliminare,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9886,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9886/14571,Necessita di ulteriori valutazioni ambientali,14571,,2023-06-06,Grosseto,Castiglione della Pescaia,Toscana,Opere portuali e vie navigabili
Progetto di un impianto agrivoltaico denominato FV08_Torchiarolo. di potenza nominale pari 19.98 MWp. localizzato nella Regione Puglia. nel Comune di Torchiarolo (BR). integrato da 2 sistemi di accumulo ciascuno da 5 MW. per un totale di circa 25 MW in corrente alternata e delle opere di connessione alla RTN.,SOLARE PV2 S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9899,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9899/14587,Verifica amministrativa,14587,,2023-06-06,Brindisi,Torchiarolo,Puglia,Fotovoltaici
Progetto per la realizzazione di un impianto eolico. costituito da 7 aerogeneratori di potenza unitaria pari a 7.2 MW. per una potenza complessiva di 50.4 MW. da realizzarsi nei comuni di Turi (BA). Casamassima (BA) e Rutigliano (BA). incluse le relative opere di connessione alla RTN (cod. MYTERNA n. 202203118).,Turi Baronessa S.r.l. (ex. Santa Rita Energia S.r.l.),Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9903,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9903/14595,Istruttoria tecnica CTPNRR-PNIEC,14595,2023-07-19,2023-06-05,Bari,"Turi, Casamassima, Rutigliano",Puglia,Impianti eolici onshore
Datacenter MIL04. Pescheria Borromeo (MI),MICROSOFT 4825 ITALY S.R.L.,Verifica di Assoggettabilità a VIA,info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9885,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9885/14570,In predisposizione provvedimento,14570,2023-10-19,2023-06-05,Milano,Peschiera Borromeo,Lombardia,Centrali
Progetto di un impianto eolico denominato Leo. costituito da 12 aerogeneratori di potenza nominale pari a 6.6 MW. per una potenza complessiva di 79.2 MW. localizzato nei comuni di Contessa Entellina (PA). Corleone (PA). Monreale (PA) e Piana degli Albanesi (PA).,RWE Renewables Italia S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9895,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9895/14581,Istruttoria tecnica CTPNRR-PNIEC,14581,2024-03-15,2023-06-05,Palermo,"Monreale, Contessa Entellina, Corleone, Piana degli Albanesi",Sicilia,Impianti eolici onshore
Progetto di un impianto eolico denominato Sant'Elia. costituito da 8 aerogeneratori da 6.6 MW. per una potenza complessiva di 52.8 MW. localizzato nei comuni di Casacalenda (CB). Ripabottoni (CB). Sant'Elia a Pianisi (CB) e Morrone del Sannio (CB).,RWE Renewables Italia S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),info,Documentazione Progetto,https://va.mite.gov.it/it-IT/Oggetti/Info/9897,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9897/14583,Istruttoria tecnica CTPNRR-PNIEC,14583,2023-08-10,2023-06-05,Campobasso,"Morrone del Sannio, Casacalenda, Ripabottoni, Sant",Molise,Impianti eolici onshore
