id,regioni,tipologia
15826,Nessuna regione,Coltivazione idrocarburi
15829,Nessuna regione,Coltivazione idrocarburi
15675,Sardegna,Fotovoltaici
15792,Emilia Romagna,Coltivazione idrocarburi
15806,Marche,Coltivazione idrocarburi
15810,Marche,Coltivazione idrocarburi
15818,Marche,Coltivazione idrocarburi
15831,Nessuna regione,Coltivazione idrocarburi
15833,Nessuna regione,Coltivazione idrocarburi
15834,Nessuna regione,Coltivazione idrocarburi
15835,Nessuna regione,Coltivazione idrocarburi
15836,Nessuna regione,Coltivazione idrocarburi
15813,Marche,Coltivazione idrocarburi
15815,Marche,Coltivazione idrocarburi
15819,Marche,Coltivazione idrocarburi
15672,Sicilia,Fotovoltaici
15652,Abruzzo,Coltivazione idrocarburi
15609,Emilia Romagna,Opere stradali
15798,Lombardia,Opere stradali
15725,Puglia,Impianti eolici onshore
15734,Basilicata,Fotovoltaici
15630,Emilia Romagna,Fotovoltaici
15827,Veneto,Fotovoltaici
15641,Puglia,Fotovoltaici
15682,Sicilia,Impianti eolici onshore
15694,Lombardia,Centrali
15612,Puglia,Fotovoltaici
15830,Lazio,Centrali
15564,Lazio,Fotovoltaici
15768,Lombardia,Opere stradali
15627,Sicilia,Fotovoltaici
15750,Puglia,Impianti eolici onshore
15626,Calabria,Impianti eolici onshore
15667,Calabria,Impianti eolici onshore
15761,Lombardia,Impianti di stoccaggio
15634,Puglia,Fotovoltaici
15567,Sicilia,Impianti eolici onshore
15804,Piemonte,Fotovoltaici
15644,Sardegna,Impianti eolici onshore
15653,Sardegna,Impianti eolici onshore
15724,Basilicata,Fotovoltaici
15787,Piemonte,Fotovoltaici
15588,Puglia,Fotovoltaici
15533,Liguria,Opere portuali e vie navigabili
15616,Sardegna,Fotovoltaici
15614,Puglia,Fotovoltaici
15720,Puglia,Impianti eolici onshore
15549,Toscana,Fotovoltaici
15744,Sardegna,Impianti eolici onshore
15853,Sardegna,Impianti eolici onshore
15680,Lombardia,Centrali
15662,Sardegna,Fotovoltaici
15668,Molise,Fotovoltaici
15666,Sardegna,Fotovoltaici
15707,Lombardia,Impianti di stoccaggio
15743,Basilicata,Fotovoltaici
15661,Puglia,Fotovoltaici
15642,Sardegna,Impianti eolici onshore
15664,Sardegna,Impianti eolici onshore
15636,Sardegna,Fotovoltaici
15648,Sardegna,Fotovoltaici
15628,Sicilia,Fotovoltaici
15546,Toscana,Impianti eolici onshore
15660,Sicilia,Fotovoltaici
15665,Sicilia,Fotovoltaici
15766,Veneto,Fotovoltaici
15774,Umbria,Metanodotti
15650,Campania,Fotovoltaici
15606,Umbria,Opere stradali
15601,Toscana,Impianti eolici onshore
15610,Liguria,Opere portuali e vie navigabili
15575,Sardegna,Impianti eolici onshore
15568,Lombardia,Impianti idroelettrici
15732,Basilicata,Fotovoltaici
15670,Emilia Romagna,Fotovoltaici
15603,Puglia,Fotovoltaici
15683,Sicilia,Fotovoltaici
15635,Sicilia,Fotovoltaici
15723,Puglia,Impianti eolici onshore
15689,Sardegna,Impianti eolici onshore
15563,Sardegna,Impianti eolici onshore
15654,Sardegna,Fotovoltaici
15631,Sicilia,Fotovoltaici
15629,Puglia,Fotovoltaici
15632,Sicilia,Fotovoltaici
15500,Lombardia,Opere stradali
15573,Sardegna,Fotovoltaici
15594,Molise,Impianti eolici onshore
15596,Campania,Impianti eolici onshore
15597,Campania,Impianti eolici onshore
15611,Campania,Impianti eolici onshore
15690,Lombardia,Centrali
15552,Sicilia,Impianti eolici onshore
15572,Lombardia,Centrali
15587,Puglia,Impianti eolici offshore
15587,Calabria,Impianti eolici offshore
15566,Sicilia,Opere ferroviarie
15595,Emilia Romagna,Opere ferroviarie
15560,Toscana,Opere ferroviarie
15592,Sicilia,Opere ferroviarie
15574,Sardegna,Impianti eolici onshore
15604,Liguria,Opere portuali e vie navigabili
15622,Campania,Impianti eolici onshore
15791,Campania,Centrali
15625,Trentino Alto Adige,Opere ferroviarie
15490,Sicilia,Impianti eolici onshore
15656,Piemonte,Opere stradali
15763,Umbria,Opere stradali
15763,Marche,Opere stradali
15593,Marche,Fotovoltaici
15623,Sardegna,Fotovoltaici
15749,Puglia,Impianti eolici onshore
15600,Toscana,Fotovoltaici
15542,Emilia Romagna,Fotovoltaici
15547,Sardegna,Impianti eolici onshore
15515,Trentino Alto Adige,Opere ferroviarie
15515,Veneto,Opere ferroviarie
15753,Puglia,Impianti eolici onshore
